"r","c","grain","straw"
1,1,3.63,6.37
2,1,4.07,6.24
3,1,4.51,7.05
4,1,3.9,6.91
5,1,3.63,5.93
6,1,3.16,5.59
7,1,3.18,5.32
8,1,3.42,5.52
9,1,3.97,6.03
10,1,3.4,5.66
11,1,3.39,5.61
12,1,4.43,7.07
13,1,4.52,7.1
14,1,4.46,7.16
15,1,3.46,8.85
16,1,5.13,8.37
17,1,4.23,6.89
18,1,4.38,6.72
19,1,3.85,6.59
20,1,3.61,6.2
1,2,4.15,6.85
2,2,4.21,7.29
3,2,4.29,7.71
4,2,4.64,8.23
5,2,4.27,7.73
6,2,3.55,6.45
7,2,3.5,5.87
8,2,3.35,5.71
9,2,3.61,6.01
10,2,3.71,6.29
11,2,3.64,6.3
12,2,3.7,6.17
13,2,3.79,6.33
14,2,4.09,7.22
15,2,4.42,5.2
16,2,3.89,7.05
17,2,3.87,6.82
18,2,4.12,7.38
19,2,4.28,7.03
20,2,4.22,7.65
1,3,4.06,7.19
2,3,4.15,7.41
3,3,4.4,7.35
4,3,4.05,7.89
5,3,4.92,8.58
6,3,4.08,7.04
7,3,4.23,7.02
8,3,4.07,7.05
9,3,4.67,7.64
10,3,4.27,7.17
11,3,3.84,6.6
12,3,3.82,6.87
13,3,4.41,7.03
14,3,4.39,7.73
15,3,4.29,7.52
16,3,4.26,6.99
17,3,4.23,7.14
18,3,4.39,7.55
19,3,4.69,8.06
20,3,4.42,8.45
1,4,5.13,7.99
2,4,4.64,7.8
3,4,4.69,7.5
4,4,4.04,6.66
5,4,4.64,7.86
6,4,4.73,7.98
7,4,4.39,6.98
8,4,4.66,7.28
9,4,4.49,6.95
10,4,4.42,6.95
11,4,4.51,7.86
12,4,4.45,7.17
13,4,4.57,7.93
14,4,4.31,7.31
15,4,4.08,6.67
16,4,4.32,6.93
17,4,4.58,7.73
18,4,3.92,6.7
19,4,5.16,8.78
20,4,5.09,8.72
1,5,3.04,4.71
2,5,4.03,6.34
3,5,3.77,6.17
4,5,3.49,5.7
5,5,3.76,6.05
6,5,3.61,5.89
7,5,3.28,4.97
8,5,3.72,5.78
9,5,3.75,5.94
10,5,4.13,7.31
11,5,4.01,7.18
12,5,3.59,6.53
13,5,3.94,7.06
14,5,4.29,7.08
15,5,3.96,6.54
16,5,3.78,6.72
17,5,3.19,6.06
18,5,4.84,8.85
19,5,4.46,7.54
20,5,3.66,7.09
1,6,4.48,6.08
2,6,3.74,6.63
3,6,4.46,6.98
4,6,3.91,6.46
5,6,4.1,6.77
6,6,3.66,6.15
7,6,3.56,6.06
8,6,3.84,6.1
9,6,4.11,6.83
10,6,4.2,6.86
11,6,4.21,8.23
12,6,4.37,8.75
13,6,4.47,8.53
14,6,4.47,8.15
15,6,3.96,7.1
16,6,3.54,6.46
17,6,3.49,6.63
18,6,3.94,6.75
19,6,4.41,8.15
20,6,4.22,7.72
1,7,4.75,7.31
2,7,4.56,7.88
3,7,4.76,8.18
4,7,4.52,7.6
5,7,4.4,7.91
6,7,4.39,7.36
7,7,4.94,8.06
8,7,4.44,7.5
9,7,4.64,7.92
10,7,4.66,7.59
11,7,4.77,8.23
12,7,4.45,8.74
13,7,4.42,8.02
14,7,4.37,7.69
15,7,3.89,6.86
16,7,4.27,7.79
17,7,3.91,7.34
18,7,4.38,7.43
19,7,4.68,7.51
20,7,4.06,7.06
1,8,4.04,6.08
2,8,4.27,6.35
3,8,3.76,5.93
4,8,4.52,7.29
5,8,4.17,7.33
6,8,3.84,6.28
7,8,4.06,6.81
8,8,3.4,5.97
9,8,2.99,5.07
10,8,3.61,6.33
11,8,3.95,7.11
12,8,4.08,7.17
13,8,3.92,6.7
14,8,3.44,6.62
15,8,4.11,7.58
16,8,4.12,7.32
17,8,4.41,7.53
18,8,4.24,7.32
19,8,4.37,7.19
20,8,3.97,7.53
1,9,4.14,6.98
2,9,4.03,6.91
3,9,3.3,5.95
4,9,3.05,5.82
5,9,3.67,7.33
6,9,4.26,7.61
7,9,4.32,7.37
8,9,4.07,6.99
9,9,4.37,7.25
10,9,3.99,7.26
11,9,4.17,7.52
12,9,3.72,7.28
13,9,3.86,7.2
14,9,3.82,7.05
15,9,3.73,6.89
16,9,4.13,7.24
17,9,4.21,7.41
18,9,3.96,7.04
19,9,4.15,7.47
20,9,3.89,7.36
1,10,4,5.87
2,10,4.5,6.5
3,10,3.67,6.2
4,10,4.59,5.41
5,10,5.07,8.05
6,10,4.36,5.58
7,10,4.86,7.51
8,10,4.93,7.57
9,10,5.02,8.23
10,10,4.44,7.75
11,10,4.39,7.73
12,10,4.56,7.73
13,10,4.77,7.67
14,10,4.63,7.87
15,10,4.03,7.16
16,10,4.47,7.84
17,10,4.61,7.51
18,10,4.29,6.96
19,10,4.91,7.96
20,10,4.46,6.91
1,11,4.37,6.75
2,11,3.97,6.09
3,11,3.94,6.18
4,11,4.01,5.99
5,11,3.83,6.36
6,11,3.79,5.46
7,11,3.96,6.23
8,11,3.93,6.13
9,11,3.56,5.75
10,11,3.86,6.14
11,11,4.17,7.2
12,11,4.1,6.9
13,11,4.99,7.82
14,11,4.36,7.39
15,11,4.09,7.03
16,11,3.41,5.96
17,11,4.27,7.17
18,11,4.52,7.73
19,11,4.68,8.07
20,11,4.44,6.87
1,12,4.02,6.1
2,12,4.19,6.43
3,12,4.07,6.37
4,12,3.34,5.6
5,12,3.63,6.43
6,12,4.09,6.1
7,12,3.74,6.38
8,12,3.04,4.96
9,12,3.59,6.03
10,12,3.99,6.26
11,12,4.17,7.08
12,12,3.07,6.12
13,12,3.91,7.34
14,12,3.79,6.33
15,12,3.82,7.3
16,12,3.55,6.7
17,12,4.06,7
18,12,4.19,7.3
19,12,5.13,8.31
20,12,4.52,8.17
1,13,4.58,7.23
2,13,4.05,6.57
3,13,3.73,6.02
4,13,4.06,6.19
5,13,3.74,6.13
6,13,3.72,6.03
7,13,4.33,6.79
8,13,3.72,5.97
9,13,4.05,6.82
10,13,3.37,6.25
11,13,4.09,7.28
12,13,3.99,7.13
13,13,4.09,7.72
14,13,3.56,6.69
15,13,3.57,6.55
16,13,3.16,5.84
17,13,3.75,6.31
18,13,4.49,7.57
19,13,4.19,6.93
20,13,3.7,6.8
1,14,3.92,6.33
2,14,3.97,6.03
3,14,4.58,7.23
4,14,3.19,6.56
5,14,4.14,5.98
6,14,3.76,5.49
7,14,3.77,5.48
8,14,3.93,6.07
9,14,3.96,6.35
10,14,3.47,5.78
11,14,3.29,5.71
12,14,3.14,5.05
13,14,3.05,5.7
14,14,3.29,5.71
15,14,3.43,5.38
16,14,3.47,5.84
17,14,3.91,6.21
18,14,3.82,6.37
19,14,4.41,6.78
20,14,4.28,6.97
1,15,3.64,5.11
2,15,3.61,5.58
3,15,3.64,5.86
4,15,3.75,4.62
5,15,3.7,7.67
6,15,3.37,5
7,15,3.71,5.66
8,15,3.71,5.79
9,15,3.75,5.12
10,15,3.09,5.47
11,15,3.37,6.44
12,15,4.86,6.39
13,15,3.39,5.86
14,15,3.64,6.36
15,15,3.73,8.58
16,15,3.3,5.7
17,15,3.51,5.99
18,15,3.6,6.34
19,15,3.54,5.58
20,15,3.24,5.95
1,16,3.66,5.96
2,16,3.82,5.8
3,16,4.07,6.74
4,16,4.54,7.08
5,16,3.92,6.14
6,16,4.01,5.99
7,16,4.59,7.28
8,16,4.76,6.49
9,16,4.73,8.64
10,16,4.2,6.49
11,16,3.74,8.63
12,16,4.36,7.26
13,16,3.6,6.27
14,16,3.6,5.84
15,16,3.39,6.42
16,16,3.39,5.8
17,16,3.45,6.05
18,16,3.14,5.48
19,16,3.01,5.68
20,16,3.29,5.58
1,17,3.57,5.12
2,17,3.44,5
3,17,3.44,5.56
4,17,3.97,6.03
5,17,3.79,5.33
6,17,3.87,5.57
7,17,3.97,6.03
8,17,3.83,6.29
9,17,4.24,6.45
10,17,4.09,6.16
11,17,3.41,5.78
12,17,3.51,6.11
13,17,4.13,6.87
14,17,3.19,5.87
15,17,3.08,5.42
16,17,2.92,4.95
17,17,3.05,7.64
18,17,2.73,4.77
19,17,2.85,4.96
20,17,3.48,5.52
1,18,3.51,5.05
2,18,3.92,5.83
3,18,3.53,4.91
4,18,3.77,5.79
5,18,4.29,5.58
6,18,4.35,6.09
7,18,4.38,6.24
8,18,3.71,5.91
9,18,4.21,6.29
10,18,4.07,6.18
11,18,3.86,6.14
12,18,3.47,5.9
13,18,3.89,6.23
14,18,3.8,6.14
15,18,3.48,5.52
16,18,3.23,5.33
17,18,3.68,5.82
18,18,3.09,5.41
19,18,3.36,6.14
20,18,3.49,5.82
1,19,4.27,6.54
2,19,4.26,8.61
3,19,4.2,6.55
4,19,4.3,5.95
5,19,4.22,6.15
6,19,4.24,5.88
7,19,3.81,5.69
8,19,3.54,5.21
9,19,3.85,6.15
10,19,4.09,5.47
11,19,4.36,7.39
12,19,3.94,6.68
13,19,3.67,6.2
14,19,3.72,6.34
15,19,3.05,5.2
16,19,3.25,5.25
17,19,3.52,5.85
18,19,3.66,5.84
19,19,3.85,6.15
20,19,3.68,6.76
1,20,3.72,5.47
2,20,4.36,6.14
3,20,4.31,6.44
4,20,4.1,5.96
5,20,3.74,5.76
6,20,3.58,5.61
7,20,4.06,6.25
8,20,3.66,5.78
9,20,4.41,6.15
10,20,3.95,6.11
11,20,4.54,7.46
12,20,4.47,7.84
13,20,4.54,7.33
14,20,3.91,6.96
15,20,3.65,6.6
16,20,3.86,6.64
17,20,3.91,6.71
18,20,3.77,6.98
19,20,4.15,6.85
20,20,3.36,6.08
1,21,3.36,4.76
2,21,3.69,5.56
3,21,4.33,6.17
4,21,3.81,6.13
5,21,3.55,5.89
6,21,4.2,5.92
7,21,3.42,5.45
8,21,3.95,5.92
9,21,4.21,6.04
10,21,4.08,7
11,21,4.24,7.2
12,21,4.11,6.95
13,21,4.11,6.64
14,21,3.35,6.27
15,21,3.71,6.29
16,21,3.22,5.4
17,21,3.87,6.13
18,21,3.48,6.14
19,21,3.93,6.57
20,21,3.71,6.35
1,22,3.17,4.95
2,22,3.53,5.09
3,22,3.66,6.15
4,22,3.89,5.92
5,22,3.67,5.45
6,22,3.94,5.87
7,22,3.05,4.57
8,22,3.84,5.66
9,22,3.63,5.81
10,22,4.03,5.72
11,22,4.08,6.54
12,22,3.97,6.47
13,22,4.58,6.79
14,22,4.11,6.64
15,22,3.25,6.37
16,22,3.69,5.93
17,22,3.87,7.5
18,22,3.76,6.11
19,22,3.91,6.09
20,22,3.54,6.21
1,23,2.97,4.53
2,23,3.14,5.11
3,23,3.59,5.41
4,23,3.32,4.62
5,23,3.57,5.24
6,23,4.24,5.82
7,23,3.44,4.56
8,23,3.76,5.24
9,23,4.17,5.58
10,23,3.97,5.65
11,23,3.89,5.98
12,23,4.07,5.8
